id	idU	title	desc	pubdate	numlikes
1	738	Tweet Text	Full Name	2014-03-29	13
2	369	I'm at Mike's House!! in San Juan de Miraflores  Lima https://t.co/pn5N8mAnNG	Miguel	2014-08-31	3
3	931	Última noche antes de volver a la rutina. 😐 (@ Residencial Inclán in Santiago de Surco  Lima) https://t.co/2wytcn0d4X	George the curious🐒	2014-12-08	20
4	847	Después de uf!!! (@ Peña del Carajo in Barranco  Lima) https://t.co/fmYarkKJhv	Ronald Quintanilla.	2014-12-04	12
5	530	I'm at Estacion Parque Industrial - Villa El Salvador - @lineaunope in Lima https://t.co/GU38xPKec8	Fredy_YP	2014-02-25	7
6	853	I'm at Instituto de Gobierno USMP - @iggp_usmp in Lima https://t.co/epLPpkka6R	elsacasas	2014-05-04	13
7	507	Demasiada puntualidad ya. (@ Hospital María Auxiliadora in San Juan de Miraflores  Lima) https://t.co/9KFlnORHBQ	NH	2014-02-07	20
8	655	Lima en crisis https://t.co/RYgatr4Mvb	María Consuelo Pardo	2014-01-12	11
9	953	Lo Conocere yo primero😊..... https://t.co/CK2y4V1nsc	Janeth	2014-06-07	12
10	239	I'm at Universidad Peruana de Ciencias Aplicadas - UPC - @upcedu in Chorrillos  Lima https://t.co/NYazO8qOII	GianfogifogiCervera	2014-10-23	18
11	726	I'm at @DonMamino in Santiago de Surco  Lima https://t.co/RMKkuWjKrp	Lilly	2014-06-19	15
12	108	Negocios internacionales (@ Facultad de Ciencias Economicas y Empresariales - URP in Lima) https://t.co/DFOWYNXC6y	La Reina del Sur	2014-06-15	10
13	990	Nada mejor para combatir el frío que un buen #menestrón #invierno #Lima https://t.co/LuMKduD53V	Rebeca	2014-05-17	13
14	567	Pancito caliente (at @WongPeru in Santiago de Surco  Lima) https://t.co/d55ij5Kczc	He left with my 💙	2014-09-27	9
15	335	Yo tomo leche #PuraVida ☹️ de todas las que hay en Lima  era la que mejor me sabía 😭	Mario Arce	2014-07-15	12
16	26	😱😱😱 (@ Universidad Peruana de Ciencias Aplicadas - UPC - @upcedu in Chorrillos  Lima) https://t.co/tVnIV66zG5	Luis Enrique M.	2014-12-28	5
17	956	¡Batibusto! #Batman #art #dc #dccomics #gallery @ Art Lima https://t.co/w2BFo86qPI	Luis Bistolfi	2014-03-23	6
18	814	@FloroPeruano EL MAS GRANDE ALIANZA LIMA ⚪🔵⚪🔵⚪🔵⚪	Daniel Acuña Acuña	2014-01-07	2
19	55	Llegamos! (@ Tanpu Wasi in Lurín  Lima) https://t.co/GiQ0FgYp0a	Nora Arakaki	2014-12-01	1
20	909	I'm at Urb. Los Cedros de Villa in Lima https://t.co/sV06BPYDP8	Stephani Svagelj H	2014-07-14	7
21	577	I'm at Puerto Med in Miraflores  Lima https://t.co/22FkoTvK5a	Pixel⚡️Rider	2014-02-11	3
22	310	@codeco2016 Excelente trabajo en Lima provincias  estamos para apoyarlos !	Juan Carlos Gonzales	2014-03-08	8
23	979	Retoques del outfit de hoy 👌🏽 (@ Sastrería Tolentino in Santiago de Surco  Departamento de Lima) https://t.co/JZ1tgzMirt	Antony Castillo	2014-05-22	16
24	598	Voy a la Juve!!! Saludos desde Lima  Perú #ChampionsxFOX	jorge luis chuquiure	2014-01-26	13
25	132	#CHAMPIONSXFOX VAMOS MADRID!! Por la duodécima  quiero la piel del Real Madrid!! Saludos desde Lima  Perú!! https://t.co/TT7U0qpbd8	Francisco Serrano	2014-10-07	4
26	633	Hoy se cocina!!! Bueno we intentará 😋 (@ plazaVea in Surco  Lima) https://t.co/RHGWS8TndW	Raysa	2014-12-22	10
27	829	@FOXSportsMX Mirando desde lima Perú vamos Juventus	Giuliana felina	2014-01-23	11
28	362	#ChampionsxFOX   en la previa desde Lima Perú  por el mejor canal FOX ...Y quiero ganar mi camiseta de REAL MADRID.… https://t.co/JAzTgJ4xgf	Guillermo Pdl	2014-10-11	2
29	32	Kermés (@ Colegio Nuestra Señora del Carmen (Carmelitas) in Miraflores  Lima) https://t.co/8SoiNKmdbF	Pichi	2014-04-11	1
30	659	I'm at Dunkin' Donuts El Cortijo in Distrito de Lima  Departamento de Lima https://t.co/054e4xrues	Pixel⚡️Rider	2014-03-17	20
31	946	De compras 🛒 con Luana #Muequitas 😁😆 @ Plaza Lima Sur-Metro https://t.co/E2e0fWSKHE	Johana Zapata Osorio	2014-03-23	1
